t                        b_rel
4.056000000000000000e+04 9.805700979384949425e-09
4.080000000000000000e+04 1.090111562732669232e-08
4.104000000000000000e+04 1.285908759140452240e-08
4.128000000000000000e+04 1.543987606772252559e-08
4.152000000000000000e+04 1.881147846187436958e-08
4.176000000000000000e+04 2.325425317922465974e-08
4.200000000000000000e+04 2.905700927723151090e-08
4.224000000000000000e+04 3.620161250971683051e-08
4.248000000000000000e+04 4.370917959563742514e-08
4.272000000000000000e+04 4.880760261560948554e-08
4.296000000000000000e+04 4.614727473289023916e-08
4.320000000000000000e+04 2.319637525384317979e-08
4.344000000000000000e+04 2.311325691177959198e-08
4.368000000000000000e+04 3.062367109037490936e-08
4.392000000000000000e+04 4.580390571939050565e-08
4.416000000000000000e+04 7.373574744184744590e-08
4.440000000000000000e+04 1.249404286368600880e-07
4.464000000000000000e+04 2.247981340688560051e-07
4.488000000000000000e+04 4.573158608430340372e-07
4.512000000000000000e+04 1.320817366452437797e-06
4.536000000000000000e+04 4.332409370019939948e-02
4.560000000000000000e+04 4.332605093577369254e-02
4.584000000000000000e+04 4.332631818510692540e-02
4.608000000000000000e+04 4.332641234938346131e-02
4.632000000000000000e+04 4.332645183015041562e-02
4.656000000000000000e+04 4.332646332568629299e-02
4.680000000000000000e+04 4.332645064755272918e-02
4.704000000000000000e+04 4.332646488120730360e-02
4.728000000000000000e+04 4.332652140919313749e-02
4.752000000000000000e+04 9.999999444789713365e-01
4.776000000000000000e+04 9.999999847239209316e-01
4.800000000000000000e+04 9.999999852314699345e-01
4.824000000000000000e+04 9.999999823896431606e-01
4.848000000000000000e+04 9.999999805987996870e-01
4.872000000000000000e+04 9.999999804592423214e-01
4.896000000000000000e+04 9.999999816949504128e-01
4.920000000000000000e+04 9.999999837988183815e-01
4.944000000000000000e+04 9.999999862895442293e-01
4.968000000000000000e+04 9.999999888203779941e-01
4.992000000000000000e+04 9.999999911927992535e-01
5.016000000000000000e+04 9.999999933222255555e-01
5.040000000000000000e+04 9.999999952099605238e-01
5.064000000000000000e+04 9.999999968647431681e-01
5.088000000000000000e+04 9.999999982733226433e-01
5.112000000000000000e+04 9.999999994748296483e-01
5.136000000000000000e+04 1.000000000000000000e+00
5.160000000000000000e+04 1.000000000000000000e+00
5.184000000000000000e+04 1.000000000000000000e+00
5.208000000000000000e+04 1.000000000000000000e+00
5.232000000000000000e+04 1.000000000000000000e+00
5.256000000000000000e+04 1.000000000000000000e+00
5.280000000000000000e+04 1.000000000000000000e+00
5.304000000000000000e+04 1.000000000000000000e+00
5.328000000000000000e+04 1.000000000000000000e+00
5.352000000000000000e+04 1.000000000000000000e+00
5.376000000000000000e+04 1.000000000000000000e+00
5.400000000000000000e+04 1.000000000000000000e+00
5.424000000000000000e+04 1.000000000000000000e+00
5.448000000000000000e+04 1.000000000000000000e+00
5.472000000000000000e+04 1.000000000000000000e+00
5.496000000000000000e+04 1.000000000000000000e+00
5.520000000000000000e+04 1.000000000000000000e+00
5.544000000000000000e+04 1.000000000000000000e+00
5.568000000000000000e+04 1.000000000000000000e+00
5.592000000000000000e+04 1.000000000000000000e+00
5.616000000000000000e+04 1.000000000000000000e+00
5.640000000000000000e+04 1.000000000000000000e+00
5.664000000000000000e+04 1.000000000000000000e+00
5.688000000000000000e+04 1.000000000000000000e+00
5.712000000000000000e+04 1.000000000000000000e+00
5.736000000000000000e+04 1.000000000000000000e+00
5.760000000000000000e+04 1.000000000000000000e+00
5.784000000000000000e+04 1.000000000000000000e+00
5.808000000000000000e+04 1.000000000000000000e+00
5.832000000000000000e+04 1.000000000000000000e+00
5.856000000000000000e+04 1.000000000000000000e+00
5.880000000000000000e+04 1.000000000000000000e+00
5.904000000000000000e+04 1.000000000000000000e+00
5.928000000000000000e+04 1.000000000000000000e+00
5.952000000000000000e+04 1.000000000000000000e+00
5.976000000000000000e+04 1.000000000000000000e+00
6.000000000000000000e+04 1.000000000000000000e+00
6.024000000000000000e+04 1.000000000000000000e+00
6.048000000000000000e+04 1.000000000000000000e+00
6.072000000000000000e+04 1.000000000000000000e+00
6.096000000000000000e+04 1.000000000000000000e+00
6.120000000000000000e+04 1.000000000000000000e+00
6.144000000000000000e+04 1.000000000000000000e+00
6.168000000000000000e+04 1.000000000000000000e+00
6.192000000000000000e+04 1.000000000000000000e+00
6.216000000000000000e+04 1.000000000000000000e+00
6.240000000000000000e+04 1.000000000000000000e+00
6.264000000000000000e+04 1.000000000000000000e+00
6.288000000000000000e+04 1.000000000000000000e+00
6.312000000000000000e+04 1.000000000000000000e+00
6.336000000000000000e+04 1.000000000000000000e+00
6.360000000000000000e+04 1.000000000000000000e+00
6.384000000000000000e+04 1.000000000000000000e+00
6.408000000000000000e+04 1.000000000000000000e+00
6.432000000000000000e+04 1.000000000000000000e+00
6.456000000000000000e+04 1.000000000000000000e+00
6.480000000000000000e+04 1.000000000000000000e+00
6.504000000000000000e+04 1.000000000000000000e+00
6.528000000000000000e+04 1.000000000000000000e+00
6.552000000000000000e+04 1.000000000000000000e+00
6.576000000000000000e+04 1.000000000000000000e+00
6.600000000000000000e+04 1.000000000000000000e+00
6.624000000000000000e+04 1.000000000000000000e+00
6.648000000000000000e+04 1.000000000000000000e+00
6.672000000000000000e+04 1.000000000000000000e+00
6.696000000000000000e+04 1.000000000000000000e+00
6.720000000000000000e+04 1.000000000000000000e+00
